Year,Agapostemon_sericeus,Agapostemon_splendens,Agapostemon_texanus,Agapostemon_virescens,Andrena_aliciae,Andrena_alleghaniensis,Andrena_bradleyi,Andrena_canadensis,Andrena_carlini,Andrena_ceanothi,Andrena_commoda,Andrena_crataegi,Andrena_cressonii,Andrena_distans,Andrena_erigeniae,Andrena_forbesii,Andrena_fragilis,Andrena_hippotes,Andrena_hirticincta,Andrena_illinoensis,Andrena_imitatrix,Andrena_krigiana,Andrena_mandibularis,Andrena_mariae,Andrena_melanochroa,Andrena_miserabilis,Andrena_nasonii,Andrena_nivalis,Andrena_nubecula,Andrena_perplexa,Andrena_placata,Andrena_platyparia,Andrena_robertsonii,Andrena_rudbeckiae,Andrena_rugosa,Andrena_salictaria,Andrena_sigmundi,Andrena_vicina,Andrena_virginiana,Andrena_wilkella,Anthidiellum_notatum,Anthidium_psoraleae,Anthophora_abrupta,Anthophora_terminalis,Augochlora_pura,Augochlorella_aurata,Augochlorella_persimilis,Augochlorella_spp.,Augochloropsis_metallica,Bombus_affinis,Bombus_ashtoni,Bombus_auricomus,Bombus_bimaculatus,Bombus_borealis,Bombus_citrinus,Bombus_fernaldae,Bombus_fervidus,Bombus_frigidus,Bombus_griseocollis,Bombus_impatiens,Bombus_nevadensis,Bombus_pensylvanicus,Bombus_perplexus,Bombus_spp.,Bombus_terricola,Bombus_vagans,Calliopsis_andreniformis,Calliopsis_nebraskensis,Ceratina_calcarata,Ceratina_dupla,Chelostoma_philadelphi,Coelioxys_alternatus,Coelioxys_immaculatus,Coelioxys_modestus,Coelioxys_octodentatus,Coelioxys_rufitarsis,Colletes_americanus,Colletes_compactus,Colletes_inaequalis,Colletes_kincaidii,Colletes_latitarsis,Colletes_nudus,Colletes_simulans,Colletes_solidaginis,Colletes_validus,Epeolus_ainsliei,Epeolus_bifasciatus,Epeolus_canadensis,Epeolus_interruptus,Epeolus_lectoides,Epeolus_minimus,Epeolus_pusillus,Epeolus_scutellaris,Epeolus_spp.,Halictus_confusus,Halictus_ligatus,Halictus_parallelus,Halictus_rubicundus,Heriades_carinata,Heriades_leavitti,Holcopasites_calliopsidis,Hoplitis_pilosifrons,Hoplitis_producta,Hoplitis_spoliata,Hylaeus_affinis,Hylaeus_annulatus,Hylaeus_mesillae,Hylaeus_modestus,Hylaeus_spp.,Lasioglossum_admirandum,Lasioglossum_anomalum,Lasioglossum_bruneri,Lasioglossum_cinctipes,Lasioglossum_coeruleum,Lasioglossum_coriaceum,Lasioglossum_cressonii,Lasioglossum_forbesii,Lasioglossum_foveolatum,Lasioglossum_foxii,Lasioglossum_illinoense,Lasioglossum_imitatum,Lasioglossum_laevissimum,Lasioglossum_leucozonium,Lasioglossum_lineatulum,Lasioglossum_lustrans,Lasioglossum_nelumbonis,Lasioglossum_nigroviride,Lasioglossum_oceanicum,Lasioglossum_paraforbesii,Lasioglossum_pectorale,Lasioglossum_perpunctatum,Lasioglossum_pictum,Lasioglossum_pilosum,Lasioglossum_spp.,Lasioglossum_tegulare,Lasioglossum_texanum,Lasioglossum_versans,Lasioglossum_versatum,Lasioglossum_vierecki,Megachile_addenda,Megachile_brevis,Megachile_campanulae,Megachile_centuncularis,Megachile_frugalis,Megachile_latimanus,Megachile_pugnata,Megachile_relativa,Melissodes_communis,Melissodes_dentiventris,Melissodes_desponsus,Melissodes_druriellus,Melissodes_illatus,Melissodes_niveus,Melissodes_subillatus,Melissodes_tinctus,Nomada_armatella,Nomada_articulata,Nomada_cressonii,Nomada_dreisbachi,Nomada_fervida,Nomada_lepida,Nomada_maculata,Nomada_ovata,Nomada_perplexa,Nomada_pygmaea,Nomada_sayi,Nomada_subrutila,Nomada_sulphurata,Nomada_vicina,Osmia_albiventris,Osmia_atriventris,Osmia_bucephala,Osmia_caerulescens,Osmia_distincta,Osmia_georgica,Osmia_pumila,Osmia_simillima,Osmia_texana,Perdita_bequaerti,Perdita_octomaculata,Pseudopanurgus_aestivalis,Sphecodes_confertus,Sphecodes_cressonii,Sphecodes_davisii,Sphecodes_dichrous,Sphecodes_heraclei,Sphecodes_illinoensis,Sphecodes_mandibularis,Triepeolus_donatus,Triepeolus_simplex,Xylocopa_virginica,Andrena_brevipalpis,Ceratina_mikmaqi,Ceratina_strenua,Dufourea_monardae,Heriades_variolosa,Hylaeus_illinoisensis,Hylaeus_sp.A,Lasioglossum_abanci,Lasioglossum_cattellae,Lasioglossum_timothyi,Megachile_mendica,Peponapis_pruinosa,Pseudopanurgus_andrenoides,Sphecodes_galerus,Andrena_barbilabris,Andrena_dunningi,Lasioglossum_leucocomum,Lasioglossum_obscurum,Lasioglossum_subviridatum,Megachile_gemula,Melissodes_bimaculatus,Nomada_sp.,Nomada_cuneata,Osmia_cornifrons,Nomada_rubicunda,Andrena_carolina,Andrena_miranda,Lasioglossum_planatum,Ceratina_calcarata/mikmaqi,Augochloropsis_metallica/fulgida,Lasioglossum_smilacinae,Augochlorella_pura,Lasioglossum_nymphaearum,Lasioglossum_ellisiae,Sphecodes_ranunculi,Melissodes_apicatus,Sphecodes_aff.atlantis
1921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1937,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,7,0,0,0,3,12,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
