"","X","NewID","GenusSpecies","Month","Day","Year","Collector","Notes","Dietary_specialization","Sociality","Nest_location","Superfamily","Family","Subfamily","Genus","Voltinism","n_rec","allCentLong","allCentLat","MaxLat","MinLat","MidLat","latRange","MaxLong","MinLong","MidLong","longRange","lat_q10","lat_q90","long_q10","long_q90","latSkew","latKurt","longSkew","longKurt","nn_rec","cont_hull_area","nnCentLong","nnCentLat","nnLatMax","nnLatMin","nnLatMid","nnLatRange","nnLat_q10","nnLongMax","nnLongMin","nnLongMid","nnLongRange","nnLong_q10","nnLong_q90","na_rec","na_hull_area","naCentLong","naCentLat","naLatMax","naLatMin","naLatMid","naLatRange","naLat_q10","naLongMax","naLongMin","naLongMid","naLongRange","naLong_q10","naLong_q90","pheno_q10","pheno_q90","phenoMean","phenoRange","phenoSkew","phenoKurt","nnLat_q90","nnLatSkew","nnLongSkew","nnLatKurt","nnLongKurt","naLat_q90","naLatKurt","naLongKurt","naLatSkew","naLongSkew","bin","extinct","ITD","ITsource","forageD","probL"
"1",1,"1ev1972.1","Agapostemon sericeus",9,13,1972,"Evans","1ev1972-Agapostemon_sericeus-9-13-1972-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",1841,-81.7756038,41.08360575,50.010644,-32.1341,8.938272,82.144744,-70.2583,-120.071179,-95.1647395,49.812879,38.51245,44.35151,-94.707128,-71.87722,-9.98897018,218.3457851,-0.624237377,2.879539182,1120,6892820.886,-81.96138506,41.15409359,50.010644,29.2523,39.631472,20.758344,38.46576,-70.2583,-120.071179,-95.1647395,49.812879,-94.9576793,-72.287519,1120,6892820.886,-81.96138506,41.15409359,50.010644,29.2523,39.631472,20.758344,38.46576,-70.2583,-120.071179,-95.1647395,49.812879,-94.9576793,-72.287519,136.7,267,203.1573034,130.3,-0.329340632,2.89535481,44.3809999,-0.684340498,-0.607436624,4.463656027,2.871778762,44.3809999,4.463656027,2.871778762,-0.684340498,-0.607436624,1,1,1.671152031,"Gibbs",0.244158431,2.24131265
"2",2,"1ev1972.2","Agapostemon sericeus",9,13,1972,"Evans","1ev1972-Agapostemon_sericeus-9-13-1972-s2","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",1841,-81.7756038,41.08360575,50.010644,-32.1341,8.938272,82.144744,-70.2583,-120.071179,-95.1647395,49.812879,38.51245,44.35151,-94.707128,-71.87722,-9.98897018,218.3457851,-0.624237377,2.879539182,1120,6892820.886,-81.96138506,41.15409359,50.010644,29.2523,39.631472,20.758344,38.46576,-70.2583,-120.071179,-95.1647395,49.812879,-94.9576793,-72.287519,1120,6892820.886,-81.96138506,41.15409359,50.010644,29.2523,39.631472,20.758344,38.46576,-70.2583,-120.071179,-95.1647395,49.812879,-94.9576793,-72.287519,136.7,267,203.1573034,130.3,-0.329340632,2.89535481,44.3809999,-0.684340498,-0.607436624,4.463656027,2.871778762,44.3809999,4.463656027,2.871778762,-0.684340498,-0.607436624,1,1,1.671152031,"Gibbs",0.244158431,2.24131265
"3",3,"2ev1972","Agapostemon sericeus",6,9,1972,"Evans","2ev1972-Agapostemon_sericeus-6-9-1972-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",1841,-81.7756038,41.08360575,50.010644,-32.1341,8.938272,82.144744,-70.2583,-120.071179,-95.1647395,49.812879,38.51245,44.35151,-94.707128,-71.87722,-9.98897018,218.3457851,-0.624237377,2.879539182,1120,6892820.886,-81.96138506,41.15409359,50.010644,29.2523,39.631472,20.758344,38.46576,-70.2583,-120.071179,-95.1647395,49.812879,-94.9576793,-72.287519,1120,6892820.886,-81.96138506,41.15409359,50.010644,29.2523,39.631472,20.758344,38.46576,-70.2583,-120.071179,-95.1647395,49.812879,-94.9576793,-72.287519,136.7,267,203.1573034,130.3,-0.329340632,2.89535481,44.3809999,-0.684340498,-0.607436624,4.463656027,2.871778762,44.3809999,4.463656027,2.871778762,-0.684340498,-0.607436624,1,1,1.671152031,"Gibbs",0.244158431,2.24131265
"4",4,"3ev1972","Agapostemon splendens",9,7,1972,"Evans","3ev1972-Agapostemon_splendens-9-7-1972-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",14632,-84.14705546,34.73499779,50.15,19.286046,34.718023,30.863954,-68.67556,-119.701522,-94.188541,51.025962,27.182843,42.44167,-97.014771,-75.5945,0.21590087,1.75357519,-1.287218821,4.317678649,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,141,266,203.3666667,125,0.178601046,3.013463388,42.458478,0.272299853,-1.185993557,1.786213012,3.897649135,42.458478,1.786213012,3.897649135,0.272299853,-1.185993557,1,1,2.1444192,"Gibbs",0.56518211,2.843551003
"5",5,"4ev1972.1","Agapostemon splendens",6,7,1972,"Evans","4ev1972-Agapostemon_splendens-6-7-1972-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",14632,-84.14705546,34.73499779,50.15,19.286046,34.718023,30.863954,-68.67556,-119.701522,-94.188541,51.025962,27.182843,42.44167,-97.014771,-75.5945,0.21590087,1.75357519,-1.287218821,4.317678649,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,141,266,203.3666667,125,0.178601046,3.013463388,42.458478,0.272299853,-1.185993557,1.786213012,3.897649135,42.458478,1.786213012,3.897649135,0.272299853,-1.185993557,1,1,2.1444192,"Gibbs",0.56518211,2.843551003
"6",6,"4ev1972.2","Agapostemon splendens",6,7,1972,"Evans","4ev1972-Agapostemon_splendens-6-7-1972-s2","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",14632,-84.14705546,34.73499779,50.15,19.286046,34.718023,30.863954,-68.67556,-119.701522,-94.188541,51.025962,27.182843,42.44167,-97.014771,-75.5945,0.21590087,1.75357519,-1.287218821,4.317678649,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,141,266,203.3666667,125,0.178601046,3.013463388,42.458478,0.272299853,-1.185993557,1.786213012,3.897649135,42.458478,1.786213012,3.897649135,0.272299853,-1.185993557,1,1,2.1444192,"Gibbs",0.56518211,2.843551003
"7",7,"5ev1972","Agapostemon splendens",6,14,1972,"Evans","5ev1972-Agapostemon_splendens-6-14-1972-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",14632,-84.14705546,34.73499779,50.15,19.286046,34.718023,30.863954,-68.67556,-119.701522,-94.188541,51.025962,27.182843,42.44167,-97.014771,-75.5945,0.21590087,1.75357519,-1.287218821,4.317678649,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,141,266,203.3666667,125,0.178601046,3.013463388,42.458478,0.272299853,-1.185993557,1.786213012,3.897649135,42.458478,1.786213012,3.897649135,0.272299853,-1.185993557,1,1,2.1444192,"Gibbs",0.56518211,2.843551003
"8",8,"6ev1972","Agapostemon splendens",6,9,1972,"Evans","6ev1972-Agapostemon_splendens-6-9-1972-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",14632,-84.14705546,34.73499779,50.15,19.286046,34.718023,30.863954,-68.67556,-119.701522,-94.188541,51.025962,27.182843,42.44167,-97.014771,-75.5945,0.21590087,1.75357519,-1.287218821,4.317678649,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,141,266,203.3666667,125,0.178601046,3.013463388,42.458478,0.272299853,-1.185993557,1.786213012,3.897649135,42.458478,1.786213012,3.897649135,0.272299853,-1.185993557,1,1,2.1444192,"Gibbs",0.56518211,2.843551003
"9",9,"7ev1972","Agapostemon splendens",7,20,1972,"Evans","7ev1972-Agapostemon_splendens-7-20-1972-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",14632,-84.14705546,34.73499779,50.15,19.286046,34.718023,30.863954,-68.67556,-119.701522,-94.188541,51.025962,27.182843,42.44167,-97.014771,-75.5945,0.21590087,1.75357519,-1.287218821,4.317678649,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,141,266,203.3666667,125,0.178601046,3.013463388,42.458478,0.272299853,-1.185993557,1.786213012,3.897649135,42.458478,1.786213012,3.897649135,0.272299853,-1.185993557,1,1,2.1444192,"Gibbs",0.56518211,2.843551003
"10",10,"8ev1972","Agapostemon splendens",7,18,1972,"Evans","8ev1972-Agapostemon_splendens-7-18-1972-s1","polylectic","solitary","ground","Apoidea","Halictidae","Halictinae","Agapostemon","Multivoltine",14632,-84.14705546,34.73499779,50.15,19.286046,34.718023,30.863954,-68.67556,-119.701522,-94.188541,51.025962,27.182843,42.44167,-97.014771,-75.5945,0.21590087,1.75357519,-1.287218821,4.317678649,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,1487,9820722.557,-84.85425103,34.81130019,50.15,19.286046,34.718023,30.863954,27.7281206,-68.67556,-119.701522,-94.188541,51.025962,-97.0684252,-75.7742812,141,266,203.3666667,125,0.178601046,3.013463388,42.458478,0.272299853,-1.185993557,1.786213012,3.897649135,42.458478,1.786213012,3.897649135,0.272299853,-1.185993557,1,1,2.1444192,"Gibbs",0.56518211,2.843551003
