"","x_names","importance","RSimportance","rank","absrank","iter","rel_imp"
"10","polyC1",-123.710894582168,-1,1,1,1,0.0613139879673591
"16","naLongMax",-80.6865984588118,-1,1,1,2,0.121520605347263
"32","polyC1",-119.154280782446,-1,1,1,3,0.0869846647880612
"49","naLongMax",-88.315985795197,-1,1,1,5,0.114324493274492
"76","polyC1",-86.9407100842034,-1,1,1,7,0.056096213125299
"87","polyC1",-197.445911864962,-1,1,1,8,0.117577825377321
"109","polyC1",-104.740067329923,-1,1,1,10,0.0902073465103984
"120","polyC1",-132.210533574999,-1,1,1,11,0.120413599408553
"126","naLongMax",-163.365717517378,-1,1,1,12,0.153106445702553
"142","polyC1",-97.3902932195052,-1,1,1,13,0.0766867782169358
"164","polyC1",-104.008273081426,-1,1,1,15,0.114838318809453
"197","polyC1",-175.201776975531,-1,1,1,18,0.101803076683681
"208","polyC1",-206.527053160414,-1,1,1,19,0.119883563252052
"230","polyC1",-141.152279435971,-1,1,1,21,0.111077281343716
"241","polyC1",-165.210580764998,-1,1,1,22,0.1396116787485
"263","polyC1",-153.164625786893,-1,1,1,24,0.0824058410608186
"296","polyC1",-109.079069143167,-1,1,1,27,0.116340812603397
"318","polyC1",-83.6225514813326,-1,1,1,29,0.0481142582117347
"339","phenoRange",-60.8530869419015,-1,1,1,31,0.0835846589876278
"351","polyC1",-104.532674872042,-1,1,1,32,0.101703769385595
"362","polyC1",-92.0943979325244,-1,1,1,33,0.177708254949381
"379","naLongMax",-111.691884277983,-1,1,1,35,0.1633319542809
"401","naLongMax",-66.8595992723299,-1,1,1,37,0.12943152983286
"417","polyC1",-77.9807087868134,-1,1,1,38,0.130401611212826
"428","polyC1",-124.623677525851,-1,1,1,39,0.060563645371779
"434","naLongMax",-121.275703290138,-1,1,1,40,0.102522835240314
"483","polyC1",-117.970901274807,-1,1,1,44,0.0782870737086731
"494","polyC1",-121.226013193744,-1,1,1,45,0.112071295400832
"505","polyC1",-73.2481841368989,-1,1,1,46,0.0681257978279754
"516","polyC1",-226.046005410228,-1,1,1,47,0.089841288645648
"538","polyC1",-113.346264154724,-1,1,1,49,0.124439278835899
"559","phenoRange",-98.0326713340815,-1,1,1,51,0.0774075039718215
"566","naLongMax",-179.920113362909,-1,1,1,52,0.157144789764175
"593","polyC1",-88.2621932562972,-1,1,1,54,0.14327199101499
"604","polyC1",-145.662376854199,-1,1,1,55,0.122562802441331
"631","naLatMin",-86.1563335909479,-1,1,1,58,0.105724388252163
"642","naLatMin",-59.1945182268314,-1,1,1,59,0.103157323200268
"670","polyC1",-165.336332535408,-1,1,1,61,0.131368660904172
"681","polyC1",-155.042193646425,-1,1,1,62,0.0988189162627758
"703","polyC1",-116.724100931331,-1,1,1,64,0.125183180406801
"746","phenoRange",-118.75612500953,-1,1,1,68,0.0871170393894233
"769","polyC1",-130.663104210214,-1,1,1,70,0.111404853102372
"808","naLongMax",-104.597219131072,-1,1,1,74,0.125488863786594
"835","polyC1",-98.7458991451097,-1,1,1,76,0.124562780387413
"846","polyC1",-149.11701753666,-1,1,1,77,0.098718328137928
"879","polyC1",-121.555452984556,-1,1,1,80,0.0802093005366793
"896","naLongMax",-135.165502209712,-1,1,1,82,0.131989942513388
"934","polyC1",-109.25856569341,-1,1,1,85,0.0929178960151672
"956","polyC1",-160.8744322372,-1,1,1,87,0.121950158418753
"967","polyC1",-63.0534025657853,-1,1,1,88,0.0990573819821847
"989","polyC1",-89.8526648272066,-1,1,1,90,0.0661965104188807
"1000","polyC1",-89.9470110097502,-1,1,1,91,0.0987592356129529
"1022","polyC1",-142.66428239602,-1,1,1,93,0.118276508160763
"1033","polyC1",-127.494086539529,-1,1,1,94,0.101396707513375
"1077","polyC1",-96.6545232309287,-1,1,1,98,0.102667058741678
"1099","polyC1",-88.8053003881205,-1,1,1,100,0.148337715857056
"1105","naLongMax",-119.446867316417,-1,1,1,101,0.124014457485027
"1164","phenoRange",-105.651186550455,-1,1,1,106,0.124583093689409
"1187","polyC1",-92.0261221720889,-1,1,1,108,0.0988491554936032
"1209","polyC1",-156.300078759489,-1,1,1,110,0.0899541303425734
"1215","naLongMax",-115.888322336999,-1,1,1,111,0.0948144169998891
"1231","polyC1",-96.6858062316831,-1,1,1,112,0.129763881346062
"1253","polyC1",-110.649325516371,-1,1,1,114,0.0771889950081803
"1264","polyC1",-83.5511919497538,-1,1,1,115,0.0727585565792035
"1281","naLongMax",-116.174450276465,-1,1,1,117,0.109045817476955
"1319","polyC1",-100.149236900629,-1,1,1,120,0.0677713038071937
"1330","polyC1",-119.552168356781,-1,1,1,121,0.106340164318662
"1341","polyC1",-145.382880175186,-1,1,1,122,0.13880353620442
"1352","polyC1",-101.327329746738,-1,1,1,123,0.0783246980054094
"1358","naLongMax",-122.200209817813,-1,1,1,124,0.131400489649771
"1385","polyC1",-138.212795067401,-1,1,1,126,0.0961159778050458
"1446","naLongMax",-103.804711893179,-1,1,1,132,0.141735880444003
"1462","polyC1",-103.993845320324,-1,1,1,133,0.0857006780618706
