"","x_names","importance","RSimportance","order","rel_imp"
"7","phenoRange",-59.7445261932186,-1,1,0.282621270916083
"14","phenoRange",-60.7142312237012,-1,1,0.25700331502265
"21","phenoRange",-41.8789085730201,-1,1,0.128776100241737
"28","phenoRange",-64.0287809598655,-1,1,0.289154087254488
"42","phenoRange",-65.9634934951009,-1,1,0.30490018119381
"49","phenoRange",-62.8522390383678,-1,1,0.290428756289597
"56","phenoRange",-60.7098681464903,-1,1,0.256962261332782
"70","phenoRange",-63.0398358648626,-1,1,0.290423924574261
"77","phenoRange",-59.6503777339989,-1,1,0.282592927640657
"84","phenoRange",-62.847613381578,-1,1,0.29055328594278
"98","phenoRange",-63.0436817940369,-1,1,0.290412118968362
"105","phenoRange",-59.652952031563,-1,1,0.282622935238681
"112","phenoRange",-59.6388404310618,-1,1,0.282468879690336
"119","phenoRange",-65.9681401824883,-1,1,0.304848703123579
"126","phenoRange",-63.6908189630858,-1,1,0.294660771388166
"133","phenoRange",-70.3043434695077,-1,1,0.251439776017294
"140","phenoRange",-60.7134793514525,-1,1,0.256966805795027
"147","phenoRange",-60.7197561311134,-1,1,0.256978993992901
"154","phenoRange",-70.9587559727584,-1,1,0.252759668798545
"175","phenoRange",-60.2810921516655,-1,1,0.262459560905773
"182","phenoRange",-60.7137585833062,-1,1,0.256986380193761
"189","phenoRange",-60.7346242927529,-1,1,0.257037053349782
"196","phenoRange",-58.0996018538553,-1,1,0.210424021827656
"203","phenoRange",-62.8430577065852,-1,1,0.290379446528972
"210","phenoRange",-59.744670715505,-1,1,0.282621650365864
"217","phenoRange",-60.7206651899052,-1,1,0.256987716693692
"224","phenoRange",-59.6465778065496,-1,1,0.282492538617541
"231","phenoRange",-62.856334536581,-1,1,0.290495105869633
"238","phenoRange",-62.8553103569572,-1,1,0.290499820690678
"245","phenoRange",-60.7199889700429,-1,1,0.257028715797536
"252","phenoRange",-60.7073357571896,-1,1,0.256959360900553
"259","phenoRange",-63.7011703218736,-1,1,0.295108381218994
"266","phenoRange",-60.7088642874733,-1,1,0.256972042222946
"273","phenoRange",-62.8403998298125,-1,1,0.2904727626329
"287","phenoRange",-58.7696248741487,-1,1,0.226632214480293
"294","phenoRange",-59.6502853933343,-1,1,0.282661714730016
"308","phenoRange",-58.4224252577835,-1,1,0.195658239727857
"315","phenoRange",-60.7183568700299,-1,1,0.257005983881972
"322","phenoRange",-63.0379447357567,-1,1,0.290328006039452
"329","phenoRange",-61.3147613927844,-1,1,0.247223986141189
"336","phenoRange",-60.7095975081402,-1,1,0.256958384226319
"343","phenoRange",-62.8433022909286,-1,1,0.290472490422327
"350","phenoRange",-60.272425538225,-1,1,0.262416047296449
"357","phenoRange",-62.8547044172509,-1,1,0.290444045172785
"364","phenoRange",-59.6583092488157,-1,1,0.282555187716515
"378","phenoRange",-56.6403290502422,-1,1,0.168576311241887
"385","phenoRange",-60.7173636498894,-1,1,0.256987802058465
"399","phenoRange",-59.6417378531087,-1,1,0.282604992998775
"406","phenoRange",-60.7331510814906,-1,1,0.257021475838979
"413","phenoRange",-65.9664551020368,-1,1,0.304878623865545
"420","phenoRange",-70.9481910742995,-1,1,0.25287608283099
"434","phenoRange",-59.6413755338215,-1,1,0.282496937518276
"441","phenoRange",-60.71895515869,-1,1,0.256988862589062
"448","phenoRange",-59.6554742155171,-1,1,0.282629889587839
"455","phenoRange",-63.0420200186113,-1,1,0.290427702746332
"462","phenoRange",-58.4054284405831,-1,1,0.195618015229246
"469","phenoRange",-59.6417505074991,-1,1,0.282642415919521
"483","phenoRange",-60.7184721023774,-1,1,0.256987613090494
"490","phenoRange",-63.697465213215,-1,1,0.294923976076792
"497","phenoRange",-63.0389960158491,-1,1,0.290383459103775
"504","phenoRange",-59.6440397818838,-1,1,0.282659157019998
"511","phenoRange",-63.7091163888146,-1,1,0.295014398032453
"518","phenoRange",-61.4994275713348,-1,1,0.121299106465983
"525","phenoRange",-62.8484372444903,-1,1,0.290494272443492
"532","phenoRange",-59.6223885307965,-1,1,0.282541812710323
"546","phenoRange",-60.6955605406735,-1,1,0.256932733607676
"553","phenoRange",-42.5442040711394,-1,1,0.123373632280345
"560","phenoRange",-60.7395658450701,-1,1,0.270276248283602
"567","phenoRange",-63.0477091374662,-1,1,0.290340624230639
"574","phenoRange",-60.2758361539965,-1,1,0.262431664793411
"581","phenoRange",-58.4105369134265,-1,1,0.19560236181567
"588","phenoRange",-63.703792992557,-1,1,0.2950242691884
"595","phenoRange",-59.6455476001859,-1,1,0.282625471789005
"602","phenoRange",-65.9664514644726,-1,1,0.304906458894491
"609","phenoRange",-59.6411443937801,-1,1,0.282523628601256
"616","phenoRange",-59.7461910358186,-1,1,0.282746316012429
"630","phenoRange",-64.0274159175156,-1,1,0.289198910717067
"637","phenoRange",-59.6391154462865,-1,1,0.282553987666487
"644","phenoRange",-60.697755944151,-1,1,0.256919820977616
"651","phenoRange",-62.8465801213227,-1,1,0.290466418367189
"658","phenoRange",-63.042414554916,-1,1,0.2903660861248
"665","phenoRange",-59.7456046858735,-1,1,0.282733704787462
"672","phenoRange",-64.5940391690206,-1,1,0.256786759498258
"679","phenoRange",-41.8754961636976,-1,1,0.128774319600468
"686","phenoRange",-59.6415616806309,-1,1,0.282582891296172
"693","phenoRange",-59.6486116063242,-1,1,0.282522729654497
"707","phenoRange",-60.7184317482794,-1,1,0.256994458842687
"721","phenoRange",-60.6989789205547,-1,1,0.256938160827376
"728","phenoRange",-63.0521128642272,-1,1,0.290442801643408
"735","phenoRange",-60.7234379174171,-1,1,0.257004374971582
"749","phenoRange",-63.0333151433872,-1,1,0.290383950261543
"756","phenoRange",-59.6315752202881,-1,1,0.282547962275023
"770","phenoRange",-60.7285672976378,-1,1,0.27028352217691
"777","phenoRange",-59.6547259797764,-1,1,0.282575098167285
"784","phenoRange",-62.8530417980357,-1,1,0.290488012041772
"791","phenoRange",-60.7258131300089,-1,1,0.257013430799667
"798","phenoRange",-59.6562252660219,-1,1,0.28255705136479
"805","phenoRange",-63.0389451467772,-1,1,0.290357361844888
"812","phenoRange",-60.7122862397572,-1,1,0.256986716772574
"819","phenoRange",-62.8597758219966,-1,1,0.290488182050234
"826","phenoRange",-60.715671299714,-1,1,0.256982782773969
"840","phenoRange",-63.6858213736453,-1,1,0.295011605509337
"847","phenoRange",-63.710306671722,-1,1,0.29505942347016
"854","phenoRange",-63.0413410868246,-1,1,0.2903325404917
"861","phenoRange",-60.2914488115665,-1,1,0.262490307611753
"868","phenoRange",-60.7103222721475,-1,1,0.256973036021699
"875","phenoRange",-63.7029055204591,-1,1,0.294949159950428
"882","phenoRange",-63.035870772365,-1,1,0.29040400404093
"889","phenoRange",-71.635591299539,-1,1,0.209996966718423
"903","phenoRange",-41.8685071769701,-1,1,0.128755412975469
"910","phenoRange",-62.8412664500013,-1,1,0.290466963834301
"924","phenoRange",-63.0460777861082,-1,1,0.290389209216055
"931","phenoRange",-59.6348145257039,-1,1,0.282400491861071
"938","phenoRange",-63.0433507166214,-1,1,0.290363237018414
"945","phenoRange",-59.7270969458274,-1,1,0.282767429865446
"959","phenoRange",-59.6415135221175,-1,1,0.2826188784878
"966","phenoRange",-60.7230011708405,-1,1,0.25703109102738
"973","phenoRange",-59.6406329899921,-1,1,0.282539515784639
"980","phenoRange",-61.7501144807418,-1,1,0.21704138237733
"987","phenoRange",-59.7519115901922,-1,1,0.282807569249661
"994","phenoRange",-60.7183740319553,-1,1,0.25698892924952
"1001","phenoRange",-61.0452048386601,-1,1,0.21861233375783
"1008","phenoRange",-63.0410051078557,-1,1,0.290370172992279
"1015","phenoRange",-66.7684750617296,-1,1,0.327186983316822
"1022","phenoRange",-62.8549455959586,-1,1,0.290460022889229
"1029","phenoRange",-63.7022572447393,-1,1,0.295080011104417
"1036","phenoRange",-62.8497829060376,-1,1,0.290477069712726
"1043","phenoRange",-62.8466355916986,-1,1,0.290472997211661
"1050","phenoRange",-65.9696895868697,-1,1,0.304898145149453
"1064","phenoRange",-60.7136943983093,-1,1,0.256982927550347
"1071","phenoRange",-63.0499767218093,-1,1,0.290444398485589
"1078","phenoRange",-59.7269346821714,-1,1,0.282653515243411
"1092","phenoRange",-63.7065666818384,-1,1,0.294951309196566
"1099","phenoRange",-62.8484021399361,-1,1,0.290529154586825
"1113","phenoRange",-59.6429984217367,-1,1,0.282627371758432
"1120","phenoRange",-62.8530297075602,-1,1,0.290515146763891
"1134","phenoRange",-63.0486759174738,-1,1,0.290412489546475
"1141","phenoRange",-59.6352864913844,-1,1,0.28256132495441
"1148","phenoRange",-60.7093340409386,-1,1,0.256966282181733
"1155","phenoRange",-59.6367141440359,-1,1,0.282496536488829
"1169","phenoRange",-63.7041793609078,-1,1,0.294965990035404
"1176","phenoRange",-60.7153751453638,-1,1,0.256997080761063
"1183","phenoRange",-60.712181146953,-1,1,0.256959156447426
"1190","phenoRange",-58.4138247532421,-1,1,0.195626967695768
"1197","phenoRange",-59.6386705440191,-1,1,0.282452197731989
"1204","phenoRange",-59.6557052606454,-1,1,0.282324130965568
"1211","phenoRange",-59.7488146171031,-1,1,0.282706918792164
"1225","phenoRange",-62.8584219851394,-1,1,0.290491517032772
"1232","phenoRange",-59.7294648202533,-1,1,0.282707728969549
"1239","phenoRange",-58.3806532040825,-1,1,0.250015016501466
"1246","phenoRange",-65.956171541181,-1,1,0.3048415608458
"1260","phenoRange",-56.3745025892429,-1,1,0.247950004540081
"1267","phenoRange",-60.7195526854691,-1,1,0.257013456160129
"1274","phenoRange",-59.6485515956131,-1,1,0.282569274837711
"1281","phenoRange",-61.6885061630316,-1,1,0.216637878779459
"1288","phenoRange",-66.7758183806655,-1,1,0.327228940878943
"1295","phenoRange",-65.9661701333653,-1,1,0.304840458587264
"1302","phenoRange",-58.4142501530753,-1,1,0.195645209754105
"1309","phenoRange",-63.0425175104175,-1,1,0.290347069281028
"1316","phenoRange",-60.7441716302414,-1,1,0.270309953495596
"1323","phenoRange",-63.7018296319602,-1,1,0.295119463676204
"1330","phenoRange",-60.7250627269521,-1,1,0.257011886208955
"1337","phenoRange",-63.0479107694051,-1,1,0.290436107765774
"1344","phenoRange",-66.1171316485144,-1,1,0.32226281146955
"1351","phenoRange",-63.6963736908761,-1,1,0.294946089712485
"1365","phenoRange",-63.0452905365282,-1,1,0.290463695238254
"1372","phenoRange",-70.3015393690771,-1,1,0.251448959612594
"1379","phenoRange",-60.7106824850834,-1,1,0.25694587852313
"1386","phenoRange",-59.6454902210662,-1,1,0.282526045903296
"1393","phenoRange",-63.7203080044892,-1,1,0.295210664701064
