"","x_names","importance","RSimportance","order","rel_imp"
"7","phenoRange",-90.0559108352969,-1,1,0.134611109732059
"14","phenoRange",-112.646384517326,-1,1,0.155371026577255
"21","phenoRange",-52.6363808939921,-1,1,0.0808848905292207
"28","phenoRange",-123.034529408261,-1,1,0.210788582565939
"35","phenoRange",-74.6414732129813,-1,1,0.192533099243531
"40","naLongMin",-47.0268602502426,-1,1,0.0903900867239574
"45","naLatMin",-96.7777314333038,-1,1,0.203045235875915
"56","phenoRange",-140.367568527612,-1,1,0.220933474934188
"77","phenoRange",-104.575971893123,-1,1,0.194828206974923
"98","phenoRange",-68.2699372818044,-1,1,0.078207083456155
"108","naLatMin",-94.7611726251025,-1,1,0.308082761794979
"119","phenoRange",-72.9967133805112,-1,1,0.142139694289018
"128","naLatMax",-85.5154052844053,-1,1,0.162254050187832
"137","naLongMax",-58.3390693768672,-1,1,0.18159003058934
"147","phenoRange",-58.2192708357965,-1,1,0.103749653679476
"154","phenoRange",-106.974689596989,-1,1,0.169077914978255
"156","naLatMax",-48.8886758163545,-1,1,0.108066647348333
"168","phenoRange",-94.5579478490163,-1,1,0.222643026790228
"177","naLatMax",-78.9779501224125,-1,1,0.167920978981475
"185","naLatMin",-77.7604754398793,-1,1,0.239161034670111
"196","phenoRange",-128.275903610958,-1,1,0.235904288800495
"207","naLongMax",-67.9533031078531,-1,1,0.206939894047438
"214","naLongMax",-49.6957033512789,-1,1,0.15692960955256
"220","naLatMin",-62.6948402349395,-1,1,0.293104865723605
"231","phenoRange",-140.331689985204,-1,1,0.220951482944586
"238","phenoRange",-84.8265782351781,-1,1,0.145379024795868
"239","ITD",-70.6987766091402,-1,1,0.25528591228636
"250","naLongMin",-53.0102580666154,-1,1,0.0836232333353911
"259","phenoRange",-85.4848010557523,-1,1,0.15056862498782
"266","phenoRange",-91.8958614688682,-1,1,0.134593860633652
"273","phenoRange",-128.38020672733,-1,1,0.249080464698446
"280","phenoRange",-80.6468678204768,-1,1,0.13549660399693
"287","phenoRange",-56.413339389538,-1,1,0.205820128358882
"289","naLatMax",-74.8719124461984,-1,1,0.125048329189994
"296","naLatMax",-56.3347541171559,-1,1,0.11273171223756
"315","phenoRange",-56.6823806304402,-1,1,0.320504520810902
"316","ITD",-71.2642261627042,-1,1,0.255482941394198
"329","phenoRange",-78.3166269999139,-1,1,0.184611791998295
"331","naLatMax",-77.1943719219346,-1,1,0.126712376335394
"364","phenoRange",-93.6506660363057,-1,1,0.208225538259409
"371","phenoRange",-85.4763002203345,-1,1,0.15054292054386
